"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27","27","TestPoint","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"U1,U8","2","OPA656U","","","","OPA656U:SOIC127P599X175-8N",""
"U2,U15,U18","3","AP1117-ADJ","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf"
"U3,U5","2","AD8337BCPZ-REEL-ND","","","","footprints:CP_8_2_ADI","AD8337BCPZ-REEL-ND"
"U4,U6","2","AD8138ARZ","","","","AD813ARZ:R_8_ADI-L","https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138-EP.pdf"
"U7","1","DAC61408RHAR","","","","","https://www.ti.com/lit/gpn/dac61408"
"U9","1","NUCLEOH723ZG","","","","NUCLEOH723ZG:MODULE_NUCLEOH723ZG",""
"U10","1","P0082_BOTTOMMOUNT","","","","P0082_BOTTOMMOUNT:MODULE_P0082_BOTTOMMOUNT",""
"U11,U14","2","LM337_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm337-n.pdf"
"U12,U13","2","OPA2277","","","","","https://www.ti.com/lit/ds/symlink/opa2277.pdf"
"U17","1","AD8611ARZ","","","","","https://www.analog.com/media/en/technical-documentation/data-sheets/AD8611_8612.pdf"
"U21","1","LTC2299xUP","","","","Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm","https://www.analog.com/media/en/technical-documentation/data-sheets/2299fa.pdf"
"Y1","1","XLL735080.000000I","","","","KiCad:XLL735080000000I","https://www.renesas.com/us/en/document/dst/xl-family-low-phase-noise-quartz-based-pll-oscillators-datasheet"
